Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed May 01 2024,SPXW240501C05005000,0,0,99.5,99.9,0,0.1676,0.6434,0.0022,0,5005.00,SPXW240501P05005000,40.49,-2.31,41,41.4,11,0.1677,-0.3567,0.0022,9
Wed May 01 2024,SPXW240501C05010000,213.32,0,96.1,96.6,0,0.1669,0.6327,0.0022,7,5010.00,SPXW240501P05010000,50,0,42.5,42.9,0,0.167,-0.3674,0.0022,19
Wed May 01 2024,SPXW240501C05015000,0,0,92.7,93.1,0,0.166,0.6218,0.0023,0,5015.00,SPXW240501P05015000,50.82,0,44.1,44.5,0,0.1662,-0.3783,0.0023,33
Wed May 01 2024,SPXW240501C05020000,104.47,0,89.3,89.8,0,0.1653,0.6107,0.0023,22,5020.00,SPXW240501P05020000,46.62,-0.83,45.8,46.2,1,0.1655,-0.3894,0.0023,31
Wed May 01 2024,SPXW240501C05025000,100.98,0,86.1,86.6,0,0.1644,0.5994,0.0024,22,5025.00,SPXW240501P05025000,47.5,0,47.5,47.9,0,0.1646,-0.4006,0.0024,306
Wed May 01 2024,SPXW240501C05030000,90.4,0,82.9,83.4,0,0.1636,0.588,0.0024,1,5030.00,SPXW240501P05030000,46.5,-4.3,49.3,49.7,4,0.1636,-0.4121,0.0024,10
Wed May 01 2024,SPXW240501C05035000,83.19,-5.81,79.8,80.2,2,0.1628,0.5764,0.0024,11,5035.00,SPXW240501P05035000,50.51,-2.04,51.1,51.5,12,0.163,-0.4237,0.0024,202
Wed May 01 2024,SPXW240501C05040000,94.34,0,76.7,77.1,0,0.1619,0.5646,0.0024,1,5040.00,SPXW240501P05040000,52,-2.35,53,53.4,1,0.162,-0.4355,0.0024,84
Wed May 01 2024,SPXW240501C05045000,81,0,73.6,74.1,0,0.1612,0.5526,0.0024,13,5045.00,SPXW240501P05045000,55.47,-0.73,54.9,55.4,5,0.1612,-0.4474,0.0024,29
Wed May 01 2024,SPXW240501C05050000,73,-6.6,70.6,71,1,0.1603,0.5406,0.0025,10,5050.00,SPXW240501P05050000,56.64,-1.51,56.9,57.4,28,0.1604,-0.4595,0.0025,932
Wed May 01 2024,SPXW240501C05055000,70.91,0,67.7,68.2,0,0.1596,0.5283,0.0025,3,5055.00,SPXW240501P05055000,57.95,-2.15,59,59.4,1,0.1597,-0.4718,0.0025,43
Wed May 01 2024,SPXW240501C05060000,67.6,-6.05,64.8,65.3,22,0.1587,0.5159,0.0025,55,5060.00,SPXW240501P05060000,60,-2.15,61.1,61.6,4,0.1588,-0.4842,0.0025,115
Wed May 01 2024,SPXW240501C05065000,71.78,0,62,62.4,0,0.1579,0.5034,0.0025,10,5065.00,SPXW240501P05065000,62.13,-2.07,63.3,63.8,3,0.1581,-0.4967,0.0025,58
Wed May 01 2024,SPXW240501C05070000,61.55,-6.3,59.3,59.7,5,0.1572,0.4908,0.0025,7,5070.00,SPXW240501P05070000,64.14,-2.21,65.6,66,4,0.1572,-0.5093,0.0025,428
Wed May 01 2024,SPXW240501C05075000,62.7,-2.35,56.6,57,2,0.1564,0.478,0.0025,5,5075.00,SPXW240501P05075000,71,0,67.9,68.3,0,0.1564,-0.522,0.0025,914
Wed May 01 2024,SPXW240501C05080000,53.72,-8.63,54,54.4,6,0.1556,0.4652,0.0026,642,5080.00,SPXW240501P05080000,65.13,-5.67,70.3,70.7,11,0.1556,-0.5349,0.0026,31
Wed May 01 2024,SPXW240501C05085000,52.72,-6.93,51.5,51.9,12,0.1547,0.4523,0.0026,12,5085.00,SPXW240501P05085000,77.89,0,72.8,73.2,0,0.1549,-0.5478,0.0026,46
Wed May 01 2024,SPXW240501C05090000,50.1,-6.95,49,49.4,13,0.1541,0.4393,0.0026,49,5090.00,SPXW240501P05090000,76.76,0,75.3,75.7,0,0.154,-0.5607,0.0026,128
Wed May 01 2024,SPXW240501C05095000,56.2,1.65,46.7,47,10,0.1533,0.4263,0.0026,22,5095.00,SPXW240501P05095000,83.32,0,77.9,78.3,0,0.1533,-0.5738,0.0026,62
Wed May 01 2024,SPXW240501C05100000,47.35,-4.7,44.3,44.7,49,0.1525,0.4133,0.0026,323,5100.00,SPXW240501P05100000,77.12,-3.33,80.5,81,23,0.1526,-0.5868,0.0026,576
Thu May 02 2024,SPXW240502C05005000,104.2,-8.9,103.6,104.1,5,0.1686,0.6437,0.0021,0,5005.00,SPXW240502P05005000,48.05,0,42.7,43.1,0,0.1691,-0.3567,0.0021,20
Thu May 02 2024,SPXW240502C05010000,103.4,0,100.1,100.6,0,0.1679,0.6335,0.0022,6,5010.00,SPXW240502P05010000,44.37,-1.58,44.3,44.7,3,0.1683,-0.3669,0.0022,18
Thu May 02 2024,SPXW240502C05015000,100.1,0,96.7,97.2,0,0.1671,0.6231,0.0022,6,5015.00,SPXW240502P05015000,44.56,-2.94,45.9,46.3,2,0.1675,-0.3774,0.0022,6
Thu May 02 2024,SPXW240502C05020000,96.1,0,93.4,93.9,0,0.1662,0.6125,0.0022,12,5020.00,SPXW240502P05020000,54.48,0,47.5,48,0,0.1666,-0.3879,0.0022,40
Thu May 02 2024,SPXW240502C05025000,91.9,0,90.1,90.7,0,0.1654,0.6017,0.0022,46,5025.00,SPXW240502P05025000,42.24,-8.46,49.2,49.7,1,0.1658,-0.3987,0.0022,25
Thu May 02 2024,SPXW240502C05030000,100.5,0,86.9,87.4,0,0.1645,0.5908,0.0023,2,5030.00,SPXW240502P05030000,49.08,0,51,51.4,0,0.165,-0.4096,0.0023,36
Thu May 02 2024,SPXW240502C05035000,93.41,0.51,83.7,84.2,2,0.1638,0.5797,0.0023,15,5035.00,SPXW240502P05035000,52.59,-1.56,52.8,53.3,1,0.1642,-0.4208,0.0023,5
Thu May 02 2024,SPXW240502C05040000,92.72,0,80.6,81.1,0,0.1629,0.5684,0.0023,1,5040.00,SPXW240502P05040000,49.77,-6.18,54.6,55.1,62,0.1635,-0.432,0.0023,82
Thu May 02 2024,SPXW240502C05045000,0,0,77.5,78.1,0,0.1622,0.557,0.0024,0,5045.00,SPXW240502P05045000,31.38,0,56.6,57,0,0.1626,-0.4434,0.0024,19
Thu May 02 2024,SPXW240502C05050000,198.8,0,74.5,75,0,0.1613,0.5454,0.0024,4,5050.00,SPXW240502P05050000,58.5,-1.2,58.5,59,2,0.1618,-0.455,0.0024,245
Thu May 02 2024,SPXW240502C05055000,74.27,-6.13,71.5,72,1,0.1606,0.5337,0.0024,3,5055.00,SPXW240502P05055000,60.21,-1.39,60.6,61.1,2,0.161,-0.4667,0.0024,21
Thu May 02 2024,SPXW240502C05060000,78.93,0,68.7,69.1,0,0.1598,0.5218,0.0024,8,5060.00,SPXW240502P05060000,62.55,-1.05,62.7,63.2,1,0.1602,-0.4786,0.0024,20
Thu May 02 2024,SPXW240502C05065000,75.93,0,65.8,66.3,0,0.1591,0.5099,0.0024,1,5065.00,SPXW240502P05065000,67,1.35,64.8,65.3,2,0.1595,-0.4906,0.0024,37
Thu May 02 2024,SPXW240502C05070000,70.62,-0.98,63.1,63.5,7,0.1582,0.4978,0.0024,30,5070.00,SPXW240502P05070000,67.65,-0.1,67,67.5,7,0.1587,-0.5026,0.0024,38
Thu May 02 2024,SPXW240502C05075000,60.55,-8.2,60.4,60.8,64,0.1575,0.4856,0.0024,0,5075.00,SPXW240502P05075000,62.2,-7.7,69.3,69.8,8,0.1578,-0.5149,0.0024,26
Thu May 02 2024,SPXW240502C05080000,72.7,0,57.7,58.2,0,0.1567,0.4733,0.0024,18,5080.00,SPXW240502P05080000,66.85,0,71.6,72.2,0,0.157,-0.5272,0.0024,66
Thu May 02 2024,SPXW240502C05085000,67.28,3.98,55.1,55.6,1,0.1559,0.4609,0.0024,43,5085.00,SPXW240502P05085000,43.34,0,74.1,74.6,0,0.1563,-0.5396,0.0024,17
Thu May 02 2024,SPXW240502C05090000,70.85,0,52.7,53.1,0,0.1551,0.4484,0.0025,6,5090.00,SPXW240502P05090000,70.1,-6.7,76.5,77,5,0.1556,-0.552,0.0025,55
Thu May 02 2024,SPXW240502C05095000,62.42,4.37,50.2,50.6,2,0.1544,0.4359,0.0025,11,5095.00,SPXW240502P05095000,72.38,-6.82,79.1,79.6,1,0.1547,-0.5645,0.0025,21
Thu May 02 2024,SPXW240502C05100000,50.49,-5.06,47.8,48.3,34,0.1536,0.4234,0.0025,24,5100.00,SPXW240502P05100000,69.85,-11.8,81.7,82.2,1,0.154,-0.5771,0.0025,139
Fri May 03 2024,SPXW240503C05005000,127.85,0,107.3,107.7,0,0.1721,0.6385,0.002,5,5005.00,SPXW240503P05005000,45.7,-1.85,45.9,46.4,55,0.1722,-0.362,0.002,105
Fri May 03 2024,SPXW240503C05010000,108.19,-5.06,103.9,104.3,30,0.1712,0.6287,0.0021,50,5010.00,SPXW240503P05010000,48.24,-0.81,47.5,47.9,41,0.1715,-0.3718,0.0021,408
Fri May 03 2024,SPXW240503C05015000,104.2,0,100.5,100.9,0,0.1705,0.6187,0.0021,6,5015.00,SPXW240503P05015000,47.13,-3.52,49.1,49.5,10,0.1706,-0.3817,0.0021,121
Fri May 03 2024,SPXW240503C05020000,111.06,0,97.2,97.6,0,0.1697,0.6086,0.0021,98,5020.00,SPXW240503P05020000,49.07,-3.18,50.8,51.2,11,0.1699,-0.3918,0.0021,226
Fri May 03 2024,SPXW240503C05025000,94.4,0,93.9,94.3,0,0.1688,0.5984,0.0021,55,5025.00,SPXW240503P05025000,53.51,-0.39,52.5,52.9,23,0.1691,-0.4021,0.0021,2960
Fri May 03 2024,SPXW240503C05030000,94.59,-5.21,90.8,91.2,2,0.1681,0.5879,0.0022,59,5030.00,SPXW240503P05030000,56.58,0,54.3,54.7,0,0.1682,-0.4125,0.0022,487
Fri May 03 2024,SPXW240503C05035000,94.6,-1.95,87.5,88,2,0.1674,0.5774,0.0022,42,5035.00,SPXW240503P05035000,54.99,-2.36,56.1,56.5,10,0.1675,-0.4231,0.0022,203
Fri May 03 2024,SPXW240503C05040000,92.33,-1.02,84.5,84.9,9,0.1665,0.5666,0.0022,99,5040.00,SPXW240503P05040000,54.71,-4.44,58,58.4,36,0.1666,-0.4338,0.0022,907
Fri May 03 2024,SPXW240503C05045000,90.6,0,81.4,81.9,0,0.1657,0.5558,0.0022,43,5045.00,SPXW240503P05045000,60.72,-0.23,59.9,60.3,5,0.1658,-0.4447,0.0022,155
Fri May 03 2024,SPXW240503C05050000,88.59,1.44,78.4,78.8,13,0.1649,0.5448,0.0022,172,5050.00,SPXW240503P05050000,63.91,1.06,61.9,62.3,60,0.165,-0.4556,0.0022,2879
Fri May 03 2024,SPXW240503C05055000,80.4,-3.7,75.4,75.9,19,0.164,0.5337,0.0023,55,5055.00,SPXW240503P05055000,56.83,-8.02,63.9,64.3,2,0.1643,-0.4668,0.0023,146
Fri May 03 2024,SPXW240503C05060000,73.6,-7.55,72.5,72.9,76,0.1634,0.5224,0.0023,118,5060.00,SPXW240503P05060000,65.6,-1.25,66,66.4,22,0.1633,-0.478,0.0023,306
Fri May 03 2024,SPXW240503C05065000,80.3,2.15,69.7,70.1,13,0.1626,0.511,0.0023,32,5065.00,SPXW240503P05065000,64.57,-4.28,68.1,68.6,24,0.1627,-0.4894,0.0023,162
Fri May 03 2024,SPXW240503C05070000,69.83,-5.47,66.9,67.3,85,0.1617,0.4996,0.0023,257,5070.00,SPXW240503P05070000,66.04,-4.91,70.3,70.8,36,0.1619,-0.5008,0.0023,481
Fri May 03 2024,SPXW240503C05075000,66.6,-5.85,64.2,64.6,34,0.1609,0.488,0.0023,208,5075.00,SPXW240503P05075000,73.76,0.61,72.6,73,19,0.1612,-0.5124,0.0023,346
Fri May 03 2024,SPXW240503C05080000,72.6,2.95,61.5,61.9,5,0.1602,0.4764,0.0023,79,5080.00,SPXW240503P05080000,76.31,0.96,74.9,75.4,129,0.1602,-0.5241,0.0023,757
Fri May 03 2024,SPXW240503C05085000,70.2,3.25,58.9,59.3,6,0.1594,0.4646,0.0023,37,5085.00,SPXW240503P05085000,77,-0.6,77.3,77.8,7,0.1595,-0.5358,0.0023,224
Fri May 03 2024,SPXW240503C05090000,61.59,-2.76,56.4,56.8,64,0.1586,0.4528,0.0023,185,5090.00,SPXW240503P05090000,69.6,-10.3,79.7,80.2,29,0.1588,-0.5476,0.0023,451
Fri May 03 2024,SPXW240503C05095000,55.86,-5.89,53.9,54.3,36,0.1579,0.4409,0.0023,75,5095.00,SPXW240503P05095000,78.2,0,82.2,82.7,0,0.158,-0.5595,0.0023,449
Fri May 03 2024,SPXW240503C05100000,51.96,-7.24,51.5,51.9,10,0.1571,0.429,0.0023,695,5100.00,SPXW240503P05100000,81.97,-2.78,84.8,85.3,20,0.1572,-0.5714,0.0023,3106
Mon May 06 2024,SPXW240506C05005000,123.17,0,110.1,110.6,0,0.1637,0.6355,0.002,3,5005.00,SPXW240506P05005000,52.68,0,48.1,48.6,0,0.1638,-0.3646,0.002,15
Mon May 06 2024,SPXW240506C05010000,119.72,0,106.6,107.2,0,0.1629,0.6261,0.002,3,5010.00,SPXW240506P05010000,51.96,0,49.7,50.1,0,0.1631,-0.3741,0.002,36
Mon May 06 2024,SPXW240506C05015000,163.34,0,103.4,103.9,0,0.1621,0.6165,0.002,1,5015.00,SPXW240506P05015000,32.7,0,51.3,51.8,0,0.1623,-0.3837,0.002,20
Mon May 06 2024,SPXW240506C05020000,100.53,-8.62,100,100.5,2,0.1614,0.6067,0.002,3,5020.00,SPXW240506P05020000,57.03,0,52.9,53.4,0,0.1616,-0.3934,0.002,34
Mon May 06 2024,SPXW240506C05025000,97.31,-8.54,96.8,97.3,2,0.1606,0.5968,0.0021,11,5025.00,SPXW240506P05025000,53,-2.9,54.7,55.2,45,0.1608,-0.4034,0.0021,506
Mon May 06 2024,SPXW240506C05030000,110.32,0,93.5,94,0,0.1599,0.5868,0.0021,21,5030.00,SPXW240506P05030000,56.73,0,56.4,56.9,0,0.1601,-0.4134,0.0021,30
Mon May 06 2024,SPXW240506C05035000,107.07,0,90.3,90.8,0,0.1591,0.5766,0.0021,15,5035.00,SPXW240506P05035000,63.4,0,58.2,58.7,0,0.1594,-0.4236,0.0021,9
Mon May 06 2024,SPXW240506C05040000,187.22,0,87.2,87.7,0,0.1584,0.5662,0.0021,12,5040.00,SPXW240506P05040000,65.26,0,60.1,60.6,0,0.1585,-0.4339,0.0021,327
Mon May 06 2024,SPXW240506C05045000,88.5,0,84.1,84.6,0,0.1575,0.5558,0.0022,2,5045.00,SPXW240506P05045000,67.49,0,62,62.5,0,0.1578,-0.4444,0.0022,19
Mon May 06 2024,SPXW240506C05050000,84.93,0,81.2,81.7,0,0.1568,0.5452,0.0022,30,5050.00,SPXW240506P05050000,63.9,-1,64,64.5,2,0.157,-0.455,0.0022,862
Mon May 06 2024,SPXW240506C05055000,81.89,0,78.2,78.7,0,0.156,0.5344,0.0022,16,5055.00,SPXW240506P05055000,71.79,0,66,66.5,0,0.1562,-0.4657,0.0022,6
Mon May 06 2024,SPXW240506C05060000,84.5,0.7,75.3,75.8,2,0.1553,0.5236,0.0022,54,5060.00,SPXW240506P05060000,60,0,68.1,68.6,0,0.1555,-0.4766,0.0022,82
Mon May 06 2024,SPXW240506C05065000,82.4,0,72.4,72.9,0,0.1546,0.5126,0.0022,12,5065.00,SPXW240506P05065000,70.41,-0.39,70.2,70.7,2,0.1547,-0.4875,0.0022,4
Mon May 06 2024,SPXW240506C05070000,84.6,0,69.6,70.1,0,0.1538,0.5016,0.0022,18,5070.00,SPXW240506P05070000,72.59,-0.31,72.4,72.9,2,0.154,-0.4986,0.0022,49
Mon May 06 2024,SPXW240506C05075000,78.5,3.4,66.9,67.4,5,0.153,0.4904,0.0022,1,5075.00,SPXW240506P05075000,88.76,0,74.6,75.2,0,0.1534,-0.5097,0.0022,260
Mon May 06 2024,SPXW240506C05080000,74.7,0,64.2,64.7,0,0.1523,0.4792,0.0022,38,5080.00,SPXW240506P05080000,80.63,0,76.9,77.5,0,0.1525,-0.521,0.0022,66
Mon May 06 2024,SPXW240506C05085000,79.66,0,61.6,62,0,0.1516,0.4679,0.0022,17,5085.00,SPXW240506P05085000,82.1,0,79.3,79.8,0,0.1518,-0.5323,0.0022,3
Mon May 06 2024,SPXW240506C05090000,61,0,59,59.5,0,0.1509,0.4565,0.0022,14,5090.00,SPXW240506P05090000,88.69,0,81.7,82.2,0,0.1511,-0.5437,0.0022,19
Mon May 06 2024,SPXW240506C05095000,75.1,0,56.5,57,0,0.1501,0.445,0.0023,1,5095.00,SPXW240506P05095000,67.82,0,84.2,84.7,0,0.1504,-0.5551,0.0023,19
Mon May 06 2024,SPXW240506C05100000,65.8,4.1,54.1,54.5,30,0.1495,0.4335,0.0023,431,5100.00,SPXW240506P05100000,92.3,0,86.7,87.3,0,0.1497,-0.5666,0.0023,610
Tue May 07 2024,SPXW240507C05005000,0,0,112.7,113.3,0,0.1643,0.6337,0.0019,0,5005.00,SPXW240507P05005000,0,0,49.9,50.4,0,0.1646,-0.3664,0.0019,0
Tue May 07 2024,SPXW240507C05010000,0,0,109.2,109.8,0,0.1636,0.6245,0.0019,6,5010.00,SPXW240507P05010000,54.07,0,51.5,51.9,0,0.1638,-0.3757,0.0019,4
Tue May 07 2024,SPXW240507C05015000,0,0,105.9,106.5,0,0.1627,0.6152,0.002,0,5015.00,SPXW240507P05015000,54.79,0,53.1,53.6,0,0.1631,-0.385,0.002,3
Tue May 07 2024,SPXW240507C05020000,179.2,0,102.6,103.2,0,0.162,0.6056,0.002,5,5020.00,SPXW240507P05020000,55.45,-0.55,54.8,55.3,1,0.1621,-0.3945,0.002,27
Tue May 07 2024,SPXW240507C05025000,102.48,-5.87,99.3,99.8,2,0.1613,0.596,0.002,0,5025.00,SPXW240507P05025000,58.82,0,56.5,57,0,0.1614,-0.4042,0.002,9
Tue May 07 2024,SPXW240507C05030000,0,0,96.1,96.6,0,0.1605,0.5862,0.002,0,5030.00,SPXW240507P05030000,65.69,0,58.2,58.7,0,0.1607,-0.4139,0.002,7
Tue May 07 2024,SPXW240507C05035000,96.34,-5.46,92.9,93.5,2,0.1598,0.5763,0.002,0,5035.00,SPXW240507P05035000,65.68,0,60,60.5,0,0.1599,-0.4238,0.002,1
Tue May 07 2024,SPXW240507C05040000,0,0,89.8,90.3,0,0.159,0.5663,0.0021,0,5040.00,SPXW240507P05040000,67.58,0,61.9,62.4,0,0.1593,-0.4339,0.0021,23
Tue May 07 2024,SPXW240507C05045000,143.41,0,86.7,87.3,0,0.1583,0.5561,0.0021,2,5045.00,SPXW240507P05045000,56.79,-7.91,63.8,64.3,2,0.1585,-0.444,0.0021,3
Tue May 07 2024,SPXW240507C05050000,234.14,0,83.7,84.2,0,0.1575,0.5458,0.0021,21,5050.00,SPXW240507P05050000,61.9,0,65.8,66.3,0,0.1576,-0.4543,0.0021,217
Tue May 07 2024,SPXW240507C05055000,138.71,0,80.7,81.3,0,0.1568,0.5354,0.0021,1,5055.00,SPXW240507P05055000,75.35,0,67.8,68.3,0,0.157,-0.4648,0.0021,5
Tue May 07 2024,SPXW240507C05060000,78.95,-7.35,77.8,78.3,20,0.156,0.5249,0.0021,5,5060.00,SPXW240507P05060000,67,0,69.8,70.4,0,0.1562,-0.4753,0.0021,17
Tue May 07 2024,SPXW240507C05065000,0,0,74.9,75.5,0,0.1553,0.5143,0.0022,0,5065.00,SPXW240507P05065000,74.5,0,72,72.5,0,0.1554,-0.4859,0.0022,4
Tue May 07 2024,SPXW240507C05070000,73.08,-7.37,72.1,72.6,5,0.1545,0.5035,0.0022,6,5070.00,SPXW240507P05070000,67.58,-7.02,74.1,74.7,1,0.1547,-0.4966,0.0022,9
Tue May 07 2024,SPXW240507C05075000,70.33,-7.22,69.4,69.9,5,0.1538,0.4927,0.0022,2,5075.00,SPXW240507P05075000,83.72,0,76.3,76.9,0,0.1539,-0.5074,0.0022,30
Tue May 07 2024,SPXW240507C05080000,87.6,0,66.7,67.2,0,0.153,0.4818,0.0022,5,5080.00,SPXW240507P05080000,77.2,-1.7,78.6,79.2,1,0.1532,-0.5184,0.0022,45
Tue May 07 2024,SPXW240507C05085000,75.92,3.92,64,64.5,21,0.1523,0.4708,0.0022,2,5085.00,SPXW240507P05085000,88.25,0,81,81.5,0,0.1525,-0.5293,0.0022,22
Tue May 07 2024,SPXW240507C05090000,124.3,0,61.4,61.9,0,0.1516,0.4598,0.0022,10,5090.00,SPXW240507P05090000,78.03,0,83.4,83.9,0,0.1518,-0.5404,0.0022,30
Tue May 07 2024,SPXW240507C05095000,0,0,58.9,59.4,0,0.1509,0.4486,0.0022,0,5095.00,SPXW240507P05095000,56.68,0,85.8,86.4,0,0.151,-0.5515,0.0022,1
Tue May 07 2024,SPXW240507C05100000,63.19,0,56.4,56.9,0,0.1502,0.4375,0.0022,1,5100.00,SPXW240507P05100000,83.49,0,88.3,88.9,0,0.1504,-0.5627,0.0022,173
Wed May 08 2024,SPXW240508C05005000,0,0,115.2,115.7,0,0.165,0.632,0.0019,0,5005.00,SPXW240508P05005000,0,0,51.7,52.1,0,0.1652,-0.3682,0.0019,0
Wed May 08 2024,SPXW240508C05010000,170.1,0,111.8,112.4,0,0.1641,0.6231,0.0019,5,5010.00,SPXW240508P05010000,47.4,0,53.2,53.7,0,0.1643,-0.3771,0.0019,7
Wed May 08 2024,SPXW240508C05015000,0,0,108.4,108.9,0,0.1634,0.614,0.0019,0,5015.00,SPXW240508P05015000,54.2,-1.9,54.9,55.3,8,0.1636,-0.3862,0.0019,1
Wed May 08 2024,SPXW240508C05020000,114.76,0,105.2,105.7,0,0.1625,0.6048,0.0019,4,5020.00,SPXW240508P05020000,56.11,-1.59,56.5,57,2,0.1627,-0.3954,0.0019,13
Wed May 08 2024,SPXW240508C05025000,107.7,0,101.8,102.3,0,0.1618,0.5954,0.002,11,5025.00,SPXW240508P05025000,52.13,-7.17,58.2,58.7,1,0.162,-0.4048,0.002,420
Wed May 08 2024,SPXW240508C05030000,0,0,98.6,99.1,0,0.161,0.5859,0.002,0,5030.00,SPXW240508P05030000,63.98,0,60,60.4,0,0.1613,-0.4142,0.002,7
Wed May 08 2024,SPXW240508C05035000,109.8,5.6,95.4,95.9,14,0.1602,0.5763,0.002,1,5035.00,SPXW240508P05035000,0,0,61.8,62.2,0,0.1605,-0.4239,0.002,0
Wed May 08 2024,SPXW240508C05040000,105.45,0,92.3,92.8,0,0.1596,0.5666,0.002,5,5040.00,SPXW240508P05040000,64.33,-0.22,63.6,64.1,1,0.1598,-0.4336,0.002,22
Wed May 08 2024,SPXW240508C05045000,91.27,0,89.2,89.7,0,0.1588,0.5567,0.002,4,5045.00,SPXW240508P05045000,47.1,0,65.5,66,0,0.159,-0.4435,0.002,33
Wed May 08 2024,SPXW240508C05050000,93.16,-1.54,86.2,86.7,2,0.1581,0.5467,0.002,17,5050.00,SPXW240508P05050000,67.02,-1.18,67.5,67.9,27,0.1583,-0.4535,0.002,993
Wed May 08 2024,SPXW240508C05055000,86.73,-4.97,83.2,83.7,1,0.1573,0.5366,0.0021,0,5055.00,SPXW240508P05055000,69.38,-0.82,69.5,69.9,1,0.1575,-0.4636,0.0021,50
Wed May 08 2024,SPXW240508C05060000,82.83,-5.82,80.3,80.8,3,0.1565,0.5264,0.0021,6,5060.00,SPXW240508P05060000,71.5,0,71.5,72,0,0.1568,-0.4738,0.0021,36
Wed May 08 2024,SPXW240508C05065000,79.45,-6.25,77.4,77.9,15,0.1558,0.516,0.0021,3,5065.00,SPXW240508P05065000,78.29,0,73.6,74.1,0,0.156,-0.4842,0.0021,2
Wed May 08 2024,SPXW240508C05070000,85,2.2,74.6,75,4,0.155,0.5056,0.0021,5,5070.00,SPXW240508P05070000,76,-0.2,75.8,76.3,4,0.1553,-0.4946,0.0021,6
Wed May 08 2024,SPXW240508C05075000,79.2,0,71.8,72.3,0,0.1543,0.4951,0.0021,21,5075.00,SPXW240508P05075000,29.7,0,78,78.5,0,0.1546,-0.5051,0.0021,59
Wed May 08 2024,SPXW240508C05080000,77.88,0.78,69.1,69.5,1,0.1535,0.4845,0.0021,4,5080.00,SPXW240508P05080000,75.18,-5.32,80.2,80.7,1,0.1537,-0.5157,0.0021,5
Wed May 08 2024,SPXW240508C05085000,78.32,4.02,66.4,66.9,2,0.1528,0.4738,0.0021,5,5085.00,SPXW240508P05085000,0,0,82.6,83.1,0,0.153,-0.5264,0.0021,0
Wed May 08 2024,SPXW240508C05090000,106.3,0,63.8,64.3,0,0.1521,0.463,0.0021,8,5090.00,SPXW240508P05090000,77.6,-7.4,84.9,85.5,1,0.1522,-0.5371,0.0021,33
Wed May 08 2024,SPXW240508C05095000,0,0,61.3,61.7,0,0.1514,0.4522,0.0021,0,5095.00,SPXW240508P05095000,85.72,-1.58,87.4,87.9,2,0.1516,-0.548,0.0021,2
Wed May 08 2024,SPXW240508C05100000,67.46,1.16,58.8,59.2,1,0.1507,0.4413,0.0021,2,5100.00,SPXW240508P05100000,95.5,0,89.9,90.4,0,0.1508,-0.5588,0.0021,66
Thu May 09 2024,SPXW240509C05005000,0,0,117.9,118.5,0,0.1652,0.6318,0.0018,0,5005.00,SPXW240509P05005000,0,0,53.1,53.5,0,0.1655,-0.3687,0.0018,0
Thu May 09 2024,SPXW240509C05010000,0,0,114.5,115.1,0,0.1645,0.6231,0.0018,0,5010.00,SPXW240509P05010000,42.7,0,54.7,55.1,0,0.1647,-0.3774,0.0018,37
